Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,Federal Fund Rate
20080701,1276.69,1260.68,584629,-25.5455948,-127.4223485,24.63,1327.453482,1307.927,-33.09,1289.682,-75.12,-5.523407572,-0.039542237,-37722454.84,72.34,2.11
20080702,1285.82,1261.51,527609,-27.57198621,-115.8649294,30.66,1321.174102,1300.298,-52.77,1277.592,-98.62,-7.25072419,-0.060551224,-52042778.81,71.99,1.95
20080703,1262.96,1252.01,324759,-28.73531868,-115.1715272,19.47,1315.624188,1292.305,-59.07,1273.542,-88.03,-6.516251767,-0.041754873,-55561481.94,72.73,1.92
20080707,1262.9,1240.68,526542,-30.1640798,-111.3023021,33.27,1309.594265,1285.743,-26.07,1268.328,-85.5,-6.740987318,-0.049840668,-53525518.26,72.71,1.99
20080708,1251.84,1242.84,603411,-29.23340455,-82.7327076,31.33,1306.175764,1281.313,-6.3,1267.068,-69.13,-3.356020426,-0.030883595,-39091131.65,72.96,1.97
20080709,1273.38,1244.57,518100,-30.48528685,-92.61161192,32.79,1300.319977,1274.353,-40.22,1259.024,-73.24,-5.562215478,-0.05845821,-51031432.71,72.59,1.99
20080710,1245.25,1236.76,584043,-30.42467855,-102.2096577,20.89,1295.850455,1267.495,-8.13,1257.398,-64.61,-4.633680542,-0.023192924,-56621807.01,72.49,2.01
20080711,1248.66,1225.35,674220,-31.13930534,-117.8449804,31.92,1290.482793,1263.129,-23.41,1252.716,-74.8,-6.239173355,-0.030421314,-47750912.94,71.91,1.97
20080714,1241.61,1225.01,543486,-32.23698382,-120.2807778,28.49,1284.560622,1258.121,-34.6,1247.914,-93.67,-4.274636636,-0.040390625,-53946772.72,71.96,2.06
20080715,1226.83,1200.44,736364,-33.79776344,-161.3163124,33.91,1277.927229,1251.612,-37.4,1236.156,-68.24,-4.964877423,-0.054478524,-59422582.6,71.7,2.16
20080716,1214.65,1211.39,673863.04,-32.20637695,-93.45265874,34.13,1274.825589,1247.657,-28.34,1236.29,-33.02,-2.70625,-0.012809944,-34199474.25,72.06,1.95
20080717,1246.31,1241.49,736520.96,-29.39914962,-3.994304678,20.82,1273.444104,1247.537,15.63,1237.676,-19.68,-1.913752714,-0.002042917,-25278531.77,72.05,2.03
20080718,1258.22,1251.81,565328,-26.83600399,20.88955573,10.42,1272.228475,1247.315,7.29,1241.914,-24.23,-0.06658634,0.006639274,-33094318.62,72.17,1.96
20080721,1261.82,1255.7,463064,-24.57626307,46.24721725,12.04,1271.063858,1248.084,20.51,1248.254,-1.52,-0.229630216,-0.010756065,-35719554.95,71.84,1.98
