Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,HIBOR
20080728,22801.8496,22619.2305,108176.44,-34.52418155,69.34850898,242.7988,22384.05866,22271.77539,813.0214,22835.53476,865.4316,3.965907583,0.066664933,-293883.2551,72.69,1.6
20080729,22265.9297,22089.0898,140323.27,-45.27260317,-0.938336823,598.1211,22372.05307,22380.09844,-274.9004,22781.63866,73.4492,0.331082656,0.046477671,-147904.3208,73.3,1.6
20080730,22637.3301,22573.1797,196874.8,-18.66843433,53.19288134,493.0391,22402.39084,22526.8084,163.1191,22692.84842,676.1387,3.071338894,0.042126648,-29275.43523,73.3,1.6
20080731,22878.7598,22695.7305,157266.21,5.618802622,57.92734375,188.1602,22433.69643,22626.44629,-403.4512,22621.5242,1556.3301,7.349926997,0.037697697,-36042.21084,73.2,1.6
20080801,22497.9004,22207.3105,180020.6,35.07326117,37.58888507,673.959,22474.54435,22725.2873,-225.1211,22645.90194,1639.0996,7.723040969,0.014420897,-36408.24953,73.37,1.61
20080804,22630.5898,22425.1309,129307.91,30.01528811,15.80281555,437.4687,22478.38964,22723.48925,-225.791,22611.44374,780.1992,3.589644471,-0.000557568,-4000.233632,73.5,1.61
20080805,22225.0605,21739.2207,194666.6,-19.3743442,-112.052345,775.6992,22428.04301,22665.7162,-737.4609,22549.79374,75.5605,0.345432227,-0.051213478,-60404.82489,73.96,1.61
20080807,22403.2598,21915.2793,217220.08,-45.52840093,-92.15036127,509.2598,22397.20074,22562.68104,-586.4004,22432.51366,-428.7012,-1.87895535,-0.042599333,-118851.5939,74.54,1.61
20080808,21997.6406,21690.5996,173793.46,-82.96978097,-147.3835907,539.9512,22348.43981,22442.43006,-845.8887,22263.33592,-642.2696,-5.400320546,-0.037619756,-175594.8776,75.84,1.61
20080811,22020.5391,21859.3398,154913.41,-113.4224624,-106.427111,376.17,22301.85885,22354.29295,-1003.2598,22062.68396,-1275.211,-5.320494457,-0.036490651,-437232.2278,76.27,1.61
20080812,21992.1797,21640.8906,186840.36,-153.4149842,-105.0858464,668.4395,22238.9095,22249.66092,-874.0293,21887.8781,-1446.8301,-4.836349685,-0.027725285,-393626.9045,76.17,1.61
20080813,21270.8594,21223.3809,308308.36,-210.7262433,-153.5344516,442.3691,22148.85338,22153.19295,-656.4297,21756.59216,-1447.3906,-6.143948704,-0.061579655,-419374.8619,76.26,1.61
20080814,21302.6992,21109.0098,225039.28,-245.2981935,-146.3088975,344.4707,22076.83981,22023.40408,-557.0391,21614.2945,-1294.5,-3.887542007,-0.058879189,-485605.2821,76.71,1.61
20080815,21383.7109,20994.5391,145046.12,-288.1066148,-141.1398455,398.1718,21989.57698,21866.35213,-943.6191,21469.36834,-1097.4199,-6.742966369,-0.074445581,-731817.746,77.12,1.61
