Ntime,Open Price,Low Price,Volume,MACD,CCI,ATR,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20080722,12944.56,12921.02,1123587072,-259.81503,16.32245983,381.26,13225.02104,12959.426,174.8,12878.394,-52.93,-0.399837134,0.011517669,-36073801.32,72.43,0.6
20080723,13259.65,13238.55,1272721408,-220.5984999,119.3213582,203.67,13233.39332,12987.409,558.37,12990.068,-47.11,-0.352618705,0.019589978,-41515983.01,72.81,0.6025
20080724,13411.28,13393.57,1262193280,-164.1951386,185.2337556,290.38,13268.62348,13042.527,842.51,13158.57,570.21,4.375091114,0.039409526,-19998509.05,72.85,0.60167
20080725,13452.37,13324.22,1096224768,-139.5560934,108.9107266,279.09,13274.9222,13069.282,446.81,13247.932,282.63,2.165393694,0.022127882,-18501019.52,72.81,0.6025
20080728,13407.36,13327.12,935564864,-117.1443503,106.5810633,141.82,13282.43246,13100.691,550.08,13357.948,286.57,2.193046565,0.02573204,-26130838.54,72.69,0.6025
20080729,13220.33,13018.22,1064956224,-113.7524222,12.31668858,335.56,13270.71985,13115.62,355.75,13352.846,119.76,0.918426742,0.030768003,-35333621.48,73.3,0.6025
20080730,13267.37,13264.08,1089965056,-93.17888972,74.11535057,212.83,13279.96462,13176.943,182.83,13363.818,357.63,2.748851667,0.045406907,-25789266.71,73.3,0.6025
20080731,13410.4,13256.38,1370148096,-75.27861338,72.21396441,211.29,13289.18799,13238.544,63.88,13318.518,622.25,4.878647323,0.036545335,-26235055.29,73.2,0.6025
20080801,13276.57,13039.21,1350121728,-82.90958076,-0.551850097,337.6,13270.65485,13259.208,-508.72,13270.484,333.79,2.615745094,0.022214518,-30762165.45,73.37,0.60167
20080804,13083.28,12910.17,1419848448,-100.8194318,-48.60933603,203.77,13238.51439,13272.156,-401.58,13186.364,45.23,0.350947979,-0.019096,-32377264.65,73.5,0.60167
20080805,12957.01,12893.34,1446004736,-115.1798059,-66.02842223,156.24,13207.67111,13245.126,-439.12,13137.406,110.96,0.866624491,-0.029916029,-31398071.57,73.96,0.60167
